,input,output
9406,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is QR codes,<extra_id_0> Texture Replacement 1 <extra_id_1> builings <extra_id_2> qr codes <extra_id_3>
9407,<extra_id_0>: The object which is placed in the context of another object is QR code and the object which is replaced by another object (expected object) Skyscraper,<extra_id_0> Object Replacement <extra_id_1> qr code <extra_id_2> skyscraper <extra_id_3>
9416,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> almond <extra_id_2> granola bars <extra_id_3>
9417,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> almond <extra_id_2> nuts <extra_id_3>
9426,<extra_id_0>: The objects that have created new object are Woman's face- Woman's hair and sweater,<extra_id_0> Combination of Parts <extra_id_1>
9427,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> head and hair- sweater <extra_id_2> shaped <extra_id_3>
9428,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> woman's face and hair <extra_id_2> fish <extra_id_3>
9435,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> lipstick <extra_id_2> flowers <extra_id_3>
9440,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> shoe <extra_id_2> folded <extra_id_3>
9441,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> shoe <extra_id_2> open magazine <extra_id_3>
9442,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> soccer cleat <extra_id_2> bent <extra_id_3>
9449,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> cow in man clothes <extra_id_2>
9450,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cow <extra_id_2> man <extra_id_3>
9459,<extra_id_0>: Objects which are inside are RED and the objects that are outside are REDEFINED,<extra_id_0> Object Inside Object <extra_id_1> red <extra_id_2> redefined <extra_id_3>
9464,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> eye <extra_id_2> car lights <extra_id_3>
9467,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> lemon- lime <extra_id_2>
9476,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> elephant <extra_id_2> football player <extra_id_3>
9479,<extra_id_0>: The object which is placed in the context of another object is Herman Monster and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> herman monster <extra_id_2> person <extra_id_3>
9480,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> frankenstein <extra_id_2> person <extra_id_3>
9485,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> a heart <extra_id_2> flower pedals <extra_id_3>
9486,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> heart <extra_id_2> petals <extra_id_3>
9487,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> heart <extra_id_2> strawberries <extra_id_3>
9500,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> bear <extra_id_2> police officer <extra_id_3>
9501,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> motorcycle cop <extra_id_2> bear <extra_id_3>
9510,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> alligator- dog- shoes <extra_id_2>
9511,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> crocodile- dog- converse shoes <extra_id_2>
9512,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> dog- alligator <extra_id_2>
9527,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> milk <extra_id_2> bathing suit <extra_id_3>
9545,<extra_id_0>: The liquid which has been deformed is Chocolate,<extra_id_0> Liquid Deformed Object <extra_id_1> chocolate <extra_id_2>
9551,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cross <extra_id_2> cross walk <extra_id_3>
9554,<extra_id_0>: The liquid which has been deformed is <extra_id_1>,<extra_id_0> Liquid Deformed Object <extra_id_1> blood <extra_id_2>
9557,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> cell phone- arms- legs <extra_id_2>
9560,<extra_id_0>: The liquid which has been deformed is <extra_id_1>,<extra_id_0> Liquid Deformed Object <extra_id_1> green paint <extra_id_2>
9563,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> flower <extra_id_2> male anatomy <extra_id_3>
9564,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> rose <extra_id_2> penis <extra_id_3>
9573,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> shoe <extra_id_2> lilly pad <extra_id_3>
9578,<extra_id_0>: The object which is placed in the context of another object is Target Logo and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> target logo <extra_id_2> water <extra_id_3>
9579,<extra_id_0>: The object which is placed in the context of another object is Target logo and the object which is replaced by another object (expected object) Water,<extra_id_0> Object Replacement <extra_id_1> target logo <extra_id_2> water <extra_id_3>
9580,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> bullseyes <extra_id_2> water spray <extra_id_3>
9587,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> men <extra_id_2>
9588,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> boy- man <extra_id_2>
9593,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> house on fire and fireman <extra_id_2> fireman <extra_id_3>
9596,<extra_id_0>: The objects which have missing parts are broken glass- broken parts- emoji missing arms,<extra_id_0> Object with Missing Part <extra_id_1>
9597,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> smiley face <extra_id_2> rock <extra_id_3>
9606,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cartoon ice man <extra_id_2> human <extra_id_3>
9611,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cigarette <extra_id_2> fishing bait <extra_id_3>
9619,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> offices <extra_id_2> laptop <extra_id_3>
9622,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> background <extra_id_2> water background <extra_id_3>
9627,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> pear <extra_id_2> snake <extra_id_3>
9628,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are body bent to the shape of a pear,<extra_id_0> Solid Deformed Object <extra_id_1> snake <extra_id_2>
9629,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> snake <extra_id_2> pear <extra_id_3>
9636,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> underwear <extra_id_2> vegetables <extra_id_3>
9637,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> watermelon- bikini <extra_id_2>
9638,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> green leaves <extra_id_2> two piece swim suit <extra_id_3>
9651,<extra_id_0>: The objects that have created new object are Oreo Cookie- astronaut body.,<extra_id_0> Combination of Parts <extra_id_1> oreo cookie- astronaut body. <extra_id_2>
9652,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cookie <extra_id_2> astronaut mask <extra_id_3>
9657,<extra_id_0>: The objects which have missing parts are Willie Wonka hat on label for candy bar.,<extra_id_0> Object with Missing Part <extra_id_1>
9662,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> hand- tennis bat <extra_id_2> hand- tennis bat <extra_id_3>
9667,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> lime slices <extra_id_2> guitar body <extra_id_3>
9670,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> smiley face <extra_id_2> fruit <extra_id_3>
9673,<extra_id_0>: Objects which are inside are Foundation and the objects that are outside are Grass,<extra_id_0> Object Inside Object <extra_id_1> foundation <extra_id_2> grass <extra_id_3>
9676,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> don't know what it is <extra_id_2> bear cap <extra_id_3>
9677,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> bottle caps- beer <extra_id_2> oyster- pearl <extra_id_3>
9678,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> top and beer droplet <extra_id_2> oyster and pearl. <extra_id_3>
9691,<extra_id_0>: Objects which are inside are MOBILE and the objects that are outside are PERSON,<extra_id_0> Object Inside Object <extra_id_1> mobile <extra_id_2> person <extra_id_3>
9694,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> road <extra_id_2> escalator <extra_id_3>
9695,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> escalator <extra_id_2> road <extra_id_3>
9703,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> ripped bag- missing contence <extra_id_2>
9708,<extra_id_0>: The object which is placed in the context of another object is Jack in the box head. and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> jack in the box head. <extra_id_2> mans head. <extra_id_3>
9709,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> jack in the box <extra_id_2> man <extra_id_3>
9710,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> snowcone head <extra_id_2> man's head <extra_id_3>
9723,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> girls <extra_id_2>
9726,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> cat <extra_id_2> sugar cookie <extra_id_3>
9729,<extra_id_0>: The objects that have been transformed are French Fries and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> french fries <extra_id_2> speaker icon <extra_id_3>
9730,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> fries <extra_id_2> wifi signal <extra_id_3>
9739,<extra_id_0>: Objects which are inside are Cell phone buttons and the objects that are outside are Woman's face,<extra_id_0> Object Inside Object <extra_id_1> cell phone buttons <extra_id_2> woman's face <extra_id_3>
9744,<extra_id_0>: Objects which are inside are Pool lane markers and the objects that are outside are Ocean,<extra_id_0> Object Inside Object <extra_id_1> pool lane markers <extra_id_2> ocean <extra_id_3>
9745,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> swimming pool lane markers <extra_id_2> ocean waves <extra_id_3>
9750,<extra_id_0>: The object which has a new <extra_id_2>ure is Flag and the new texture is Text,<extra_id_0> Texture Replacement 1 <extra_id_1> flag <extra_id_2> text <extra_id_3>
9751,<extra_id_0>: The object which has a new texture is Flag and the objects that have created the texture are Words,<extra_id_0> Texture Replacement 2 <extra_id_1> flag <extra_id_2> words <extra_id_3>
9752,<extra_id_0>: The object which has a new <extra_id_2>ure is <extra_id_1> and the objects that have created the texture are text,<extra_id_0> Texture Replacement 2 <extra_id_1> flag <extra_id_2> text <extra_id_3>
9765,<extra_id_0>: The objects which have missing parts are Vodka bottle with the top cut off.,<extra_id_0> Object with Missing Part <extra_id_1>
9770,<extra_id_0>: The liquid which has been deformed is Dinosaur,<extra_id_0> Liquid Deformed Object <extra_id_1> dinosaur <extra_id_2>
9773,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> paper bag <extra_id_2>
9776,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> letters <extra_id_2> audi logo <extra_id_3>
9779,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> tornado- tree <extra_id_2>
9780,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> tornado- vegetable <extra_id_2>
9789,<extra_id_0>: The objects that have created new object are Cat- human arm,<extra_id_0> Combination of Parts <extra_id_1> cat- human arm <extra_id_2>
9790,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> cat- human <extra_id_2>
9791,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> human arm <extra_id_2> cat paw <extra_id_3>
9804,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cigarettes <extra_id_2> bullets <extra_id_3>
9807,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> treadmill <extra_id_2> rock wall <extra_id_3>
9808,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> treadmill <extra_id_2> dirt <extra_id_3>
9809,<extra_id_0>: The object which is placed in the context of another object is It might be vegetables? I cannot tell what the objects are but they appear to be food and the object which is replaced by another object (expected object) Treadmill belt,<extra_id_0> Object Replacement <extra_id_1> treadmill belt <extra_id_2>
9822,<extra_id_0>: The object which has a new texture is Parts of cars have created a stand for the car and the objects that have created the texture are Car parts,<extra_id_0> Texture Replacement 2 <extra_id_1> car parts <extra_id_2>
9832,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> sand <extra_id_2> jeans <extra_id_3>
9833,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> clown <extra_id_2> food stain <extra_id_3>
9844,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> baby <extra_id_2> bottle <extra_id_3>
9845,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> elephant <extra_id_2> bottle <extra_id_3>
9846,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> elephant <extra_id_2> water bottle <extra_id_3>
9847,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> bottle <extra_id_2> twisted <extra_id_3>
9848,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> plastic bottle <extra_id_2> hourglass <extra_id_3>
9849,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> water bottle <extra_id_2> crushed <extra_id_3>
9862,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> glass window <extra_id_2>
9867,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> cat <extra_id_2>
9870,<extra_id_0>: The liquid which has been deformed is <extra_id_1>,<extra_id_0> Liquid Deformed Object <extra_id_1> coca cola <extra_id_2>
9871,<extra_id_0>: The liquid which has been deformed is <extra_id_1>,<extra_id_0> Liquid Deformed Object <extra_id_1> coke <extra_id_2>
9888,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> stack <extra_id_2> cows <extra_id_3>
9891,<extra_id_0>: The objects that have created new object are monster symbol used for fingers on hand,<extra_id_0> Combination of Parts <extra_id_1>
9892,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> hand drawing <extra_id_2> monster energy logo <extra_id_3>
9897,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> love heart <extra_id_2> sun <extra_id_3>
9900,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> heart <extra_id_2> orange <extra_id_3>
9901,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> orange <extra_id_2> heart shape <extra_id_3>
9902,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> orange <extra_id_2> heart <extra_id_3>
9915,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> jeep <extra_id_2> purse <extra_id_3>
9916,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> lipstick <extra_id_2> tire <extra_id_3>
9925,<extra_id_0>: The object which has a new texture is Coke bottle and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> coke bottle <extra_id_2> an editorial on advertisers <extra_id_3>
9926,<extra_id_0>: The object which has a new texture is Bottle and the objects that have created the texture are Words,<extra_id_0> Texture Replacement 2 <extra_id_1> bottle <extra_id_2> words <extra_id_3>
9940,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> 5 hour energy charged man <extra_id_2> 5 hour energy- man <extra_id_3>
9941,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> 5 hour energy batteries <extra_id_2> person <extra_id_3>
9942,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> 5 hour energy <extra_id_2> batteries <extra_id_3>
9949,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> buildings <extra_id_2> ash <extra_id_3>
9950,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> city <extra_id_2> ashes <extra_id_3>
9951,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> cigarette ash <extra_id_2> shaped <extra_id_3>
9958,<extra_id_0>: The object which has a new texture is Cilantro leaf and the new texture is Pizza slices,<extra_id_0> Texture Replacement 1 <extra_id_1> cilantro leaf <extra_id_2> pizza slices <extra_id_3>
9964,<extra_id_0>: The object which has a new texture is Skateboard and the objects that have created the texture are Shoelaces,<extra_id_0> Texture Replacement 2 <extra_id_1> skateboard <extra_id_2> shoelaces <extra_id_3>
9965,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> shoe laces <extra_id_2> skateboard <extra_id_3>
9974,<extra_id_0>: The object which has a new texture is Wave and the new texture is Lettuce,<extra_id_0> Texture Replacement 1 <extra_id_1> wave <extra_id_2> lettuce <extra_id_3>
9975,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> lettuce <extra_id_2> wave <extra_id_3>
9984,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> text bubble in real life <extra_id_2> text bubble- the room <extra_id_3>
9985,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> speech bubble <extra_id_2> crumpled <extra_id_3>
9994,<extra_id_0>: The object which has a new texture is Tire and the new texture is Light,<extra_id_0> Texture Replacement 1 <extra_id_1> tire <extra_id_2> light <extra_id_3>
9997,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> curved surface bounding photo <extra_id_2> numbers <extra_id_3>
10000,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> leggs <extra_id_2> feathers <extra_id_3>
10005,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> heart <extra_id_2> tomato ketchup <extra_id_3>
10006,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> ketchup bottle <extra_id_2> arrow <extra_id_3>
10011,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> people <extra_id_2> car <extra_id_3>
10014,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> arms made of phones <extra_id_2>
10015,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> cell phones- human arms <extra_id_2>
10016,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> cell phones <extra_id_2>
10029,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> humans <extra_id_2> sea turtles <extra_id_3>
10032,<extra_id_0>: The object which is placed in the context of another object is Seagram's Crown Royal and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> seagram's crown royal <extra_id_2> trophy <extra_id_3>
10035,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is Coca-Cola can,<extra_id_0> Texture Replacement 1 <extra_id_1> cow <extra_id_2> coca-cola can <extra_id_3>
10036,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> cow <extra_id_2> cococola <extra_id_3>
10037,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> soda cow <extra_id_2> soda- cow <extra_id_3>
10038,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> soda cans <extra_id_2> bucket or milk container <extra_id_3>
10055,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> vodka bottle <extra_id_2> man's penis <extra_id_3>
10060,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> mountain slopes <extra_id_2> shades <extra_id_3>
10065,<extra_id_0>: Objects which are inside are Hippo- Camel- Deer- Elephant and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> hippo- camel- deer- elephant <extra_id_2> person- hat- cage box <extra_id_3>
10068,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> outline of a home <extra_id_2> grass <extra_id_3>
10073,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> cigarettes <extra_id_2> dynamite sticks <extra_id_3>
10076,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> zippo lighter <extra_id_2> oxidation and age <extra_id_3>
10079,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> key <extra_id_2> key <extra_id_3>
